Liga,Klub,Link_Bezposredni
Bundesliga (NIE),FC Augsburg,https://drive.google.com/uc?export=view&id=1TFDZMl3hk2rOCb9b6mxm4e8u5BkZUaK-
Bundesliga (NIE),FC Augsburg,https://drive.google.com/uc?export=view&id=1YaFF0-e0RBXI0E8yhW9zTP_D-IUp9Tg1
Bundesliga (NIE),FC Augsburg,https://drive.google.com/uc?export=view&id=1Ap7vbPu26KmC9sr5APTMfFoygSINbLad
Bundesliga (NIE),FC Augsburg,https://drive.google.com/uc?export=view&id=1iA1eqd3EPjNTDYpYFrGfCd8xth7404qC
Bundesliga (NIE),FC Augsburg,https://drive.google.com/uc?export=view&id=1ENavRxuddh76wcy9xRAyyvA0gVWDmL1R
Bundesliga (NIE),FC Augsburg,https://drive.google.com/uc?export=view&id=1_XWdNUYpBRaK1Ryg6Go-8K2tUdN7cDq9
Bundesliga (NIE),FC Augsburg,https://drive.google.com/uc?export=view&id=1hpC8pwwOIc58TUxzJPasTPwqe1jFPaVk
Bundesliga (NIE),FC Augsburg,https://drive.google.com/uc?export=view&id=1nHJLT5Iy9KBMJAad0BiY5zqNUUrNKKpt
Bundesliga (NIE),FC Augsburg,https://drive.google.com/uc?export=view&id=1xO5tImAA3W6Sh_Mqg2Ts3lRwkfZjPdOn
Bundesliga (NIE),FC Augsburg,https://drive.google.com/uc?export=view&id=163uoveF7g4DWvj5umihmQBUPWXELCWmU
Bundesliga (NIE),FC Augsburg,https://drive.google.com/uc?export=view&id=1LFydaxIEwAIlRK4CXIlACcjQQcma0smb
Bundesliga (NIE),FC Augsburg,https://drive.google.com/uc?export=view&id=1QOIkurYFz3BbkUXRVUwhDOAWAiBPlnXi
Bundesliga (NIE),FC Augsburg,https://drive.google.com/uc?export=view&id=1ziejIU5_Drsfu9jGvHLh_6AWxlsS-V1Y
Bundesliga (NIE),FC Augsburg,https://drive.google.com/uc?export=view&id=1XE_pbvFX6QH6FuFHzOre-bGAmm3n9sBL
Bundesliga (NIE),FC Augsburg,https://drive.google.com/uc?export=view&id=1Xu0vg5EIe49VFottSq-34T2wFHRCgEgC
Bundesliga (NIE),FC Augsburg,https://drive.google.com/uc?export=view&id=1o8FUtgqEiJHouS2UbcGa2lOPU21tJBRU
Bundesliga (NIE),FC Augsburg,https://drive.google.com/uc?export=view&id=1t-hdsRwUgM1qvtrSq6W6a7BMKpkPir6j
