Liga,Klub,Link_Bezposredni
Francja Ligue 1,RC Lens,https://drive.google.com/uc?export=view&id=193xdd2BHNC6iKERtTNgOlqBZQ8BL4l3y
Francja Ligue 1,RC Lens,https://drive.google.com/uc?export=view&id=1Dv73j2brLVAozoCJpqHH0as238PZoMbe
Francja Ligue 1,RC Lens,https://drive.google.com/uc?export=view&id=1dIp76Ht8OFeC9Xy4Bp26M4PwWd8g7Uu7
Francja Ligue 1,Paris FC,https://drive.google.com/uc?export=view&id=17ldXKz5mZeGxQ4d8ewA6Z1471n0ywGSZ
Francja Ligue 1,Paris FC,https://drive.google.com/uc?export=view&id=1_-fz6mld7xZiIIu9xU7aEAwMiiBditls
Francja Ligue 1,Paris FC,https://drive.google.com/uc?export=view&id=1qK3DJzA104yp27Xe2T-NR_-O5LIoL-8Y
Francja Ligue 1,Strasbourg,https://drive.google.com/uc?export=view&id=1kb0sJj29liMeEoP9223whQk4XCF2nWj1
Francja Ligue 1,Strasbourg,https://drive.google.com/uc?export=view&id=1mSFtJ6F6XMgSMYaA1YCDlGEFVW_AspHv
Francja Ligue 1,Strasbourg,https://drive.google.com/uc?export=view&id=1m_o7fltsZnXHVzokVXlO9oOgEjwyor3v
Francja Ligue 1,Toulouse FC,https://drive.google.com/uc?export=view&id=1_OQbuvj974RfnUvCVjb4ZCsJxxkx3Fcu
Francja Ligue 1,Toulouse FC,https://drive.google.com/uc?export=view&id=111DEo4K3ncg0fZudbtVEzEX0fbLq-ByG
Francja Ligue 1,Toulouse FC,https://drive.google.com/uc?export=view&id=1GaF5Yy62QVGn0HMZburFLCFjgHG9gjut
Francja Ligue 1,Stade Brestois,https://drive.google.com/uc?export=view&id=1-nDG4B6r3__Zt-SI7IN1kqdPnbc9TTmD
Francja Ligue 1,Stade Brestois,https://drive.google.com/uc?export=view&id=1LOwYEhohn61J0EAwOx410dzh5QBA-jxz
Francja Ligue 1,Stade Brestois,https://drive.google.com/uc?export=view&id=1X2WpKNEnQ5kCeNj4UTs5gtCrdfN0q_YI
Hiszpania La Liga,Atlético Madrid,https://drive.google.com/uc?export=view&id=1LPR4GRXhMocosxV2XinmdJK5lbGl1Qgg
Hiszpania La Liga,Atlético Madrid,https://drive.google.com/uc?export=view&id=1MD02Aw22SnK9uXKU66TzekwKzSvIzbfb
Hiszpania La Liga,Atlético Madrid,https://drive.google.com/uc?export=view&id=1sKkXcjQQ8x6qc-w3UQjUWjgaTM_rAvDw
Hiszpania La Liga,Deportivo Alavés,https://drive.google.com/uc?export=view&id=1VoUCSjFZg6E1wJj6Di1z05-Z9r2AJINf
Hiszpania La Liga,Deportivo Alavés,https://drive.google.com/uc?export=view&id=1sSywslbvzS5Up6NXMx-Q0qVHxNMzm_g6
Hiszpania La Liga,Deportivo Alavés,https://drive.google.com/uc?export=view&id=1ucnGKKOaoXsV9SBKp29rNaJ4ELAIh50p
